"BOOKLEV"	"EBIT"	"INVGRADE"	"LOGSALES"	"MARKLEV"	"RATING"	"RETA"	"WKA"
0.256677567959	0.05760994	0	6.316473	0.212763175368	2	-0.107975132763	0.22902174294
0.49822	0.003254789	0	9.938469	0.7834353	2	-0.106865569949	-0.07309713
0.2276335	0.16681791842	1	10.0117950439	0.09852892	6	0.382622033358	0.13625086844
0.467677861452	-0.0294629875571	0	8.43012	0.6448439	2	-0.14308796823	0.03182491
0	0.0344122648239	0	7.291656	0	3	0.285224	0.6508468
0.1880256	0.0410130433738	0	8.673782	0.09323333	2	0.08744968	0.238327071071
0.316874831915	-0.0209858249873	0	6.757193	0.2560707	2	-0.07877767	0.413961440325
0.2452444	0.105410806835	1	9.004975	0.162728115916	5	0.469218343496	0.04529821
0.2854958	0.05279536	0	7.9981	0.4753297	3	0.03852848	0.09881329
0.05425123	0.1455487	1	8.169402	0.0288204774261	4	0.5613006	0.2839527
0.3541492	0.07011359	1	10.6055450439	0.444811463356	4	0.29181355238	0.0265793744475
0.240821376443	0.02969442	1	9.919361	0.296371042728	4	0.09951948	0.0222614314407
0.331713467836	0.04106431	0	8.384189	0.4735321	3	0.180185437202	0.2063182
0.157894730568	0.09560598	1	7.379008	0.1205059	5	0.395944	0.0236600674689
0.158109858632	0.083483	1	10.22749	0.14181663096	5	0.3622035	0.0474391542375
0.24936388433	0.1025357	1	9.157678	0.198320582509	5	0.303680062294	0.0816471
0.194355413318	0.0614613	1	10.1719484329	0.2028631	5	0.2543922	0.0422008559108
0.198012039065	0.1323568	1	10.0321884155	0.242820754647	4	0.229557931423	-0.06052838
0.4250431	-0.0264215972275	0	8.532475	0.4939095	2	-0.11861	-0.0143595635891
0.441162	0.08067265	1	8.815028	0.3378671	4	0.44449493289	0.0283907130361
0.214202851057	0.07805271	1	7.542055	0.2638909	4	0.6478741	0.260528117418
0.2579338	0.144634768367	1	9.839258	0.129963219166	5	0.179941922426	0.2259103
0.354621469975	0.133169159293	1	7.268542	0.17397467792	4	0.4177069664	0.0845305
0.135065019131	0.169880881906	1	9.427868	0.0393803268671	5	-0.106154210865	0.192511186004
0.130924478173	0.0337906032801	0	7.581329	0.149105757475	3	0.385243445635	0.277470141649
0.2793291	0.127654910088	1	8.148997	0.144621014595	5	0.301851063967	0.1749351
0.4815524	0.189918458462	1	9.618182	0.192646130919	5	0.9381939	-0.0135246152058
0.367285251617	-0.147961989045	0	7.180525	0.4797694	3	-0.07383233	0.394286453724
0.113753177226	0.227556422353	1	8.916947	0.08835311	5	0.3191843	-0.00127061328385
0.0368221	0.1437009	1	8.852496	0.0141917774454	5	0.7268108	0.681796252728
0.4444469	0.123643152416	0	6.88353	0.226848766208	3	0.6140003	0.110984757543
0.224694177508	0.09968515	1	10.4897117615	0.206694170833	5	0.163867875934	0.233563423157
0.02315796	0.18972787261	1	7.528476	0.0187842417508	4	0.373114645481	0.09621214
0.232864573598	0.08113825	1	9.320467	0.2680367	4	0.231664553285	0.3615593
